step,train_loss,val_loss
100,3.5695571899414062,
200,3.3428730964660645,
300,3.2015533447265625,
400,2.5779500007629395,
500,2.4799044132232666,
500,2.4799044132232666,2.516838798522949
600,2.1275253295898438,
700,2.1814351081848145,
800,2.0656540393829346,
900,1.5847907066345215,
1000,2.1714301109313965,
1000,2.1714301109313965,1.7129453015327454
1100,1.6086242198944092,
1200,1.2796911001205444,
1300,1.291272521018982,
1400,1.3737726211547852,
1500,0.7684963941574097,
1500,0.7684963941574097,1.1688174831867217
1600,1.0289156436920166,
1700,1.1469879150390625,
1800,0.8690819144248962,
1900,0.9015184640884399,
2000,0.8382845520973206,
2000,0.8382845520973206,0.8870266938209533
2100,0.6886002421379089,
2200,0.6894385814666748,
2300,0.7327157258987427,
2400,0.8335708379745483,
2500,0.6379550695419312,
2500,0.6379550695419312,0.717668564915657
2600,0.64137864112854,
2700,0.8632751107215881,
2800,0.6141044497489929,
2900,0.5053313374519348,
3000,0.5703184604644775,
3000,0.5703184604644775,0.6374413472414017
3100,0.5651196241378784,
3200,0.795027494430542,
3300,0.4649808704853058,
3400,0.9122042059898376,
3500,0.5645997524261475,
3500,0.5645997524261475,0.5579043012857438
3600,0.3272380828857422,
3700,0.7577054500579834,
3800,0.4341542720794678,
3900,0.5423669219017029,
4000,0.5531169176101685,
4000,0.5531169176101685,0.5044028091430665
4100,0.3692101836204529,
4200,0.5074981451034546,
4300,0.41004517674446106,
4400,0.6251952052116394,
4500,0.3711748719215393,
4500,0.3711748719215393,0.4918690925836563
4600,0.5666420459747314,
4700,0.435595840215683,
4800,0.319513201713562,
4900,0.3072539269924164,
5000,0.5795854926109314,
5000,0.5795854926109314,0.43259106516838075
5100,0.2774854898452759,
5200,0.41418641805648804,
5300,0.24041350185871124,
5400,0.4283779263496399,
5500,0.4894552230834961,
5500,0.4894552230834961,0.4056024861335754
5600,0.48756110668182373,
5700,0.34542393684387207,
5800,0.42957308888435364,
5900,0.456520140171051,
6000,0.25343242287635803,
6000,0.25343242287635803,0.36905342638492583
6100,0.6410359144210815,
6200,0.4246099293231964,
6300,0.473979651927948,
6400,0.44673943519592285,
6500,0.17939907312393188,
6500,0.17939907312393188,0.35483861297369
6600,0.3177059292793274,
6700,0.34527432918548584,
6800,0.2220868468284607,
6900,0.2847789525985718,
7000,0.292877197265625,
7000,0.292877197265625,0.3352096977829933
7100,0.19789163768291473,
7200,0.1987488865852356,
7300,0.12726083397865295,
7400,0.18026557564735413,
7500,0.13353687524795532,
7500,0.13353687524795532,0.31712644547224045
7600,0.24875497817993164,
7700,0.15973465144634247,
7800,0.09030326455831528,
7900,0.2667078375816345,
8000,0.09153667837381363,
8000,0.09153667837381363,0.30624288141727446
8100,0.16569125652313232,
8200,0.1687801480293274,
8300,0.26383545994758606,
8400,0.16013401746749878,
8500,0.1161808967590332,
8500,0.1161808967590332,0.28648397743701937
8600,0.17127789556980133,
8700,0.1335407793521881,
8800,0.19623984396457672,
8900,0.09782576560974121,
9000,0.2416866272687912,
9000,0.2416866272687912,0.27530071169137954
9100,0.11098848283290863,
9200,0.18989649415016174,
9300,0.11702743172645569,
9400,0.25064322352409363,
9500,0.22560171782970428,
9500,0.22560171782970428,0.2639363685250282
9600,0.15600880980491638,
9700,0.22689788043498993,
9800,0.07956624031066895,
9900,0.17870402336120605,
10000,0.2022666037082672,
10000,0.2022666037082672,0.2534883396327496
10100,0.23655617237091064,
10200,0.09657293558120728,
10300,0.19481311738491058,
10400,0.2742407023906708,
10500,0.1339237242937088,
10500,0.1339237242937088,0.24170942038297652
10600,0.2335437834262848,
10700,0.16955915093421936,
10800,0.1187184602022171,
10900,0.10255160182714462,
11000,0.0915953665971756,
11000,0.0915953665971756,0.22617546126246452
11100,0.12787193059921265,
11200,0.09551843255758286,
11300,0.10769068449735641,
11400,0.09762609004974365,
11500,0.11269578337669373,
11500,0.11269578337669373,0.22012924149632454
11600,0.15632639825344086,
11700,0.11579975485801697,
11800,0.18260622024536133,
11900,0.15549394488334656,
12000,0.1421576291322708,
12000,0.1421576291322708,0.2193194307386875
12100,0.19788858294487,
12200,0.14779847860336304,
12300,0.12979748845100403,
12400,0.07967104762792587,
12500,0.13058169186115265,
12500,0.13058169186115265,0.2134668378531933
12600,0.11387072503566742,
12700,0.0885794460773468,
12800,0.12728005647659302,
12900,0.11318106949329376,
13000,0.04587537422776222,
13000,0.04587537422776222,0.2049736735224724
13100,0.05214697867631912,
13200,0.030541669577360153,
13300,0.049607206135988235,
13400,0.037608057260513306,
13500,0.03248538076877594,
13500,0.03248538076877594,0.19861310020089148
13600,0.04068148136138916,
13700,0.026183459907770157,
13800,0.033397696912288666,
13900,0.05003542825579643,
14000,0.02047847956418991,
14000,0.02047847956418991,0.1974642689526081
14100,0.0385538712143898,
14200,0.02868593856692314,
14300,0.033534061163663864,
14400,0.032631054520606995,
14500,0.06728674471378326,
14500,0.06728674471378326,0.1939978729188442
14600,0.03133826330304146,
14700,0.023919174447655678,
14800,0.0303315632045269,
14900,0.028973011299967766,
15000,0.03625514358282089,
15000,0.03625514358282089,0.1900052472949028
15100,0.02589237689971924,
15200,0.028629031032323837,
15300,0.022613052278757095,
15400,0.0305210892111063,
15500,0.02981584519147873,
15500,0.02981584519147873,0.18881665855646135
15600,0.024904921650886536,
15700,0.0373455174267292,
15800,0.027723927050828934,
15900,0.021815549582242966,
16000,0.01626986637711525,
16000,0.01626986637711525,0.18592399194836617
16100,0.030842697247862816,
16200,0.02071359194815159,
16300,0.0230223648250103,
16400,0.03248295933008194,
16500,0.02299095317721367,
16500,0.02299095317721367,0.1833728837966919
16600,0.048780180513858795,
16700,0.032196152955293655,
16800,0.02648804523050785,
16900,0.038261204957962036,
17000,0.022029593586921692,
17000,0.022029593586921692,0.18229665413498877
17100,0.04075533151626587,
17200,0.0364227220416069,
17300,0.023489361628890038,
17400,0.018733082339167595,
17500,0.03549832105636597,
17500,0.03549832105636597,0.1816368295252323
17600,0.02145393006503582,
17700,0.04798728972673416,
17800,0.020390544086694717,
17900,0.03151227533817291,
18000,0.040056925266981125,
18000,0.040056925266981125,0.18108376666903495
18100,0.027422288432717323,
18200,0.025157788768410683,
18300,0.01942179724574089,
18400,0.06266471743583679,
18500,0.02361418306827545,
18500,0.02361418306827545,0.18086140513420104
18600,0.02959510125219822,
18700,0.05274233967065811,
18800,0.03672624006867409,
18900,0.0338982455432415,
19000,0.03220484405755997,
19000,0.03220484405755997,0.1807248468697071
19100,0.047908589243888855,
19200,0.02475876733660698,
19300,0.038305193185806274,
19400,0.04321567714214325,
