encoder_family,category,count,family_failures,fraction_of_family_failures,example_query_ids
convolutional,DOMAIN-TERM,64,264,0.242,"['fiqa:10152', 'fiqa:10447', 'fiqa:10482']"
convolutional,LEN-LONG,27,264,0.102,"['fiqa:10136', 'fiqa:10447', 'fiqa:3512']"
convolutional,LEN-SHORT,40,264,0.152,"['fiqa:2713', 'fiqa:3759', 'fiqa:4415']"
convolutional,MULTI-CONCEPT,45,264,0.17,"['fiqa:10710', 'fiqa:10845', 'fiqa:1198']"
convolutional,NATURAL-QUESTION,166,264,0.629,"['fiqa:10136', 'fiqa:10152', 'fiqa:10447']"
convolutional,NEGATION,8,264,0.03,"['fiqa:1871', 'fiqa:3566', 'fiqa:3875']"
convolutional,NUMERIC-ENTITY,29,264,0.11,"['fiqa:10827', 'fiqa:10845', 'fiqa:18']"
convolutional,UNCATEGORIZED,25,264,0.095,"['fiqa:2580', 'fiqa:2994', 'fiqa:3490']"
recurrent,DOMAIN-TERM,65,314,0.207,"['scifact:1187', 'scifact:1221', 'scifact:1280']"
recurrent,LEN-LONG,58,314,0.185,"['scifact:1021', 'scifact:1132', 'scifact:1187']"
recurrent,LEN-SHORT,34,314,0.108,"['fiqa:1783', 'fiqa:4415', 'fiqa:813']"
recurrent,MULTI-CONCEPT,58,314,0.185,"['scifact:1021', 'scifact:1049', 'scifact:1187']"
recurrent,NATURAL-QUESTION,140,314,0.446,"['fiqa:10039', 'fiqa:10975', 'fiqa:10994']"
recurrent,NEGATION,20,314,0.064,"['scifact:1110', 'scifact:137', 'scifact:237']"
recurrent,NUMERIC-ENTITY,48,314,0.153,"['scifact:1132', 'scifact:1187', 'scifact:1191']"
recurrent,UNCATEGORIZED,47,314,0.15,"['scifact:1024', 'scifact:1099', 'scifact:1100']"
ssm,DOMAIN-TERM,48,227,0.211,"['scifact:1187', 'scifact:1221', 'scifact:1332']"
ssm,LEN-LONG,48,227,0.211,"['scifact:1187', 'scifact:1199', 'scifact:1207']"
ssm,LEN-SHORT,28,227,0.123,"['scifact:870', 'fiqa:6395', 'fiqa:672']"
ssm,MULTI-CONCEPT,33,227,0.145,"['scifact:1187', 'scifact:1213', 'scifact:1226']"
ssm,NATURAL-QUESTION,70,227,0.308,"['fiqa:10547', 'fiqa:10975', 'fiqa:1159']"
ssm,NEGATION,16,227,0.07,"['scifact:1110', 'scifact:1197', 'scifact:1278']"
ssm,NUMERIC-ENTITY,43,227,0.189,"['scifact:1', 'scifact:1140', 'scifact:1175']"
ssm,UNCATEGORIZED,44,227,0.194,"['scifact:100', 'scifact:1024', 'scifact:1099']"
transformer,DOMAIN-TERM,73,311,0.235,"['fiqa:10975', 'fiqa:10975', 'fiqa:10975']"
transformer,LEN-LONG,23,311,0.074,"['fiqa:10975', 'fiqa:10975', 'fiqa:10975']"
transformer,LEN-SHORT,78,311,0.251,"['fiqa:6395', 'fiqa:6395', 'fiqa:6395']"
transformer,MULTI-CONCEPT,40,311,0.129,"['fiqa:10213', 'fiqa:10213', 'fiqa:10213']"
transformer,NATURAL-QUESTION,152,311,0.489,"['fiqa:10547', 'fiqa:10547', 'fiqa:10547']"
transformer,NEGATION,5,311,0.016,"['fiqa:8513', 'fiqa:8513', 'fiqa:8513']"
transformer,NUMERIC-ENTITY,22,311,0.071,"['fiqa:10975', 'fiqa:10975', 'fiqa:10975']"
transformer,UNCATEGORIZED,38,311,0.122,"['fiqa:503', 'fiqa:503', 'fiqa:503']"
